진료년도,시도,진료과목,환자수,명세서청구건수,입내원일수,요양급여비용총액,보험자부담금
2020,서울,일반의,3456150,16079995,16210587,6.85436E+11,5.17249E+11
2020,서울,내과,3677479,17930344,17927324,6.46964E+11,5.06901E+11
2020,서울,신경과,117630,442353,445451,22485069270,16267446710
2020,서울,정신건강의학과,364980,3095187,3218072,2.01522E+11,1.60375E+11
2020,서울,외과,458823,1600183,1646542,1.09276E+11,81593769560
2020,서울,정형외과,2248195,11665247,11881893,4.00269E+11,2.90716E+11
2020,서울,신경외과,291715,1429887,1450125,69660839480,50189333510
2020,서울,흉부외과,12801,36827,36827,2435894340,1803538780
2020,서울,성형외과,44180,109534,112264,12050196450,8951809690
2020,서울,마취통증의학과,552193,2959545,2976724,1.64254E+11,1.16987E+11
2020,서울,산부인과,961226,3607686,3736517,2.7899E+11,2.12311E+11
2020,서울,소아청소년과,974286,4939775,4939367,77821098550,60756558290
2020,서울,안과,2742515,6976517,6974780,4.78308E+11,3.60491E+11
2020,서울,이비인후과,2948244,9506096,9508752,2.49307E+11,1.819E+11
2020,서울,피부과,1759083,5155487,5155284,1.37008E+11,98581642640
2020,서울,비뇨의학과,666456,2180722,2180865,1.34509E+11,95531980930
2020,서울,"진단방사선과,영상의학과",133398,198669,198704,21250055480,14509689410
2020,서울,진단검사의학과,1350,15310,15310,282994500,232771700
2020,서울,재활의학과,402303,2344387,2369439,1.11249E+11,83966576260
2020,서울,가정의학과,528863,2425354,2425053,47327975750,36188342280
2020,서울,치과,4980949,16516232,16357170,1.05038E+12,7.43676E+11
2020,서울,한방,2288315,19475656,19508273,5.48179E+11,4.10789E+11
2020,부산,일반의,1010530,5725485,5766739,1.87204E+11,1.43294E+11
2020,부산,내과,1245920,6958488,6965486,2.21705E+11,1.69232E+11
2020,부산,신경과,62446,241058,241479,10643564290,7770860900
2020,부산,정신건강의학과,137743,1272435,1281360,65165631680,51519225100
2020,부산,외과,139631,598028,613677,40205191900,32027494000
2020,부산,정형외과,667197,3590017,3691182,1.18206E+11,86329541200
2020,부산,신경외과,100734,589717,610708,20510708240,15146363190
2020,부산,흉부외과,12971,33055,33056,1256307470,943450130
2020,부산,성형외과,6618,28554,28827,1440920220,1083282660
2020,부산,마취통증의학과,269950,1439110,1439751,76252857720,54269190330
2020,부산,산부인과,176869,599345,616484,34798104960,25893565800
2020,부산,소아청소년과,278662,1284202,1293985,22008459870,17215994470
2020,부산,안과,895632,2472176,2472062,1.5695E+11,1.18578E+11
2020,부산,이비인후과,865671,2908025,2911107,73007704410,53642528270
2020,부산,피부과,582825,1762483,1762419,42745623080,31096694180
2020,부산,비뇨의학과,244713,910845,911028,36219788680,26368661980
2020,부산,"진단방사선과,영상의학과",29736,33123,33123,5223691400,3710953270
2020,부산,재활의학과,51396,323705,337887,14210416340,10256389640
2020,부산,핵의학과,1222,2551,2587,463386130,419198370
2020,부산,가정의학과,104449,529365,529355,9344704870,7218737210
